year,south,central,north,farnorth
1960,173,196,114,67
1961,186,156,100,78
1962,52,59,67,104
1963,158,98,75,52
1964,87,33,41,41
1965,67,70,55,34
1966,65,54,56,27
1967,138,68,89,70
1968,101,88,77,96
1969,75,75,24,59
1970,56,44,23,33
1971,131,71,109,66
1972,103,78,52,55
1973,279,259,192,157
1974,154,120,99,139
1975,102,74,67,99
1976,49,42,76,91
1977,77,83,77,74
1978,102,53,59,89
1979,69,55,95,79
1980,108,105,140,116
1981,108,114,81,82
1982,95,68,59,103
1983,120,70,48,39
1984,196,168,107,110
1985,56,82,63,122
1986,150,86,89,142
1987,183,145,104,93
1988,81,68,27,46
1989,60,35,16,28
1990,50,51,23,22
1991,69,31,27,33
1992,26,23,15,51
1993,57,57,37,34
1994,48,55,38,25
1995,83,116,102,100
1996,140,112,130,126
1997,135,97,58,62
1998,50,20,20,33
1999,128,81,42,38
